season,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,hs,as,hst,ast,hc,ac,hf,af,hy,ay,hr,ar
1993/94,1993-11-28,Napoli,Reggiana,5,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Parma,Milan,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Piacenza,Foggia,5,4,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Sampdoria,Cremonese,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Torino,Lecce,3,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-11-28,Udinese,Atalanta,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Atalanta,Lazio,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Cremonese,Piacenza,4,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Foggia,Udinese,2,2,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Genoa,Sampdoria,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Juventus,Napoli,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Lecce,Inter,1,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Milan,Torino,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Reggiana,Cagliari,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-12,Roma,Parma,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Cagliari,Parma,0,4,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Genoa,Foggia,1,4,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Inter,Sampdoria,3,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Lazio,Juventus,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Napoli,Atalanta,4,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Piacenza,Roma,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Reggiana,Lecce,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Torino,Cremonese,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-12,Udinese,Milan,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Atalanta,Genoa,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Cremonese,Udinese,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Foggia,Torino,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Juventus,Piacenza,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Lecce,Lazio,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Milan,Cagliari,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Parma,Napoli,1,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Roma,Inter,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-19,Sampdoria,Reggiana,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Cagliari,Lecce,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Genoa,Cremonese,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Inter,Atalanta,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Lazio,Sampdoria,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Napoli,Foggia,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Piacenza,Parma,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Reggiana,Milan,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Torino,Roma,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-01,Udinese,Juventus,0,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Cagliari,Atalanta,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Cremonese,Juventus,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Foggia,Lazio,4,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Milan,Lecce,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Parma,Udinese,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Reggiana,Inter,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Roma,Genoa,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Sampdoria,Napoli,4,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-09-01,Torino,Piacenza,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Atalanta,Torino,2,2,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Genoa,Milan,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Inter,Foggia,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Juventus,Roma,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
